bin_id;n_rec;n_super_kmers;size;2nd stage MEM;n_singatures
149;0;0;0;8448;335
501;0;0;0;8448;234
301;0;0;0;8448;317
505;0;0;0;8448;222
201;0;0;0;8448;330
509;0;0;0;8448;195
305;0;0;0;8448;317
306;0;0;0;8448;317
112;0;0;0;8448;338
308;0;0;0;8448;316
204;0;0;0;8448;329
310;0;0;0;8448;316
152;0;0;0;8448;335
312;0;0;0;8448;316
206;0;0;0;8448;329
314;0;0;0;8448;315
126;0;0;0;8448;337
316;0;0;0;8448;315
208;0;0;0;8448;329
318;0;0;0;8448;315
154;0;0;0;8448;334
320;0;0;0;8448;314
210;0;0;0;8448;329
322;0;0;0;8448;314
106;0;0;0;8448;339
324;0;0;0;8448;314
212;0;0;0;8448;329
326;0;0;0;8448;313
156;0;0;0;8448;334
328;0;0;0;8448;313
214;0;0;0;8448;328
330;0;0;0;8448;313
128;0;0;0;8448;337
332;0;0;0;8448;312
216;0;0;0;8448;328
334;0;0;0;8448;312
158;0;0;0;8448;334
336;0;0;0;8448;312
218;0;0;0;8448;328
338;0;0;0;8448;311
114;0;0;0;8448;338
340;0;0;0;8448;311
220;0;0;0;8448;328
342;0;0;0;8448;311
160;0;0;0;8448;334
344;0;0;0;8448;310
222;0;0;0;8448;327
346;0;0;0;8448;310
130;0;0;0;8448;336
348;0;0;0;8448;309
224;0;0;0;8448;327
350;0;0;0;8448;309
162;0;0;0;8448;334
352;0;0;0;8448;309
226;0;0;0;8448;327
353;0;0;0;8448;308
356;0;0;0;8448;308
228;0;0;0;8448;327
358;0;0;0;8448;308
164;0;0;0;8448;333
360;0;0;0;8448;307
230;0;0;0;8448;327
362;0;0;0;8448;307
132;0;0;0;8448;336
364;0;0;0;8448;306
232;0;0;0;8448;326
366;0;0;0;8448;306
166;0;0;0;8448;333
368;0;0;0;8448;305
234;0;0;0;8448;326
370;0;0;0;8448;305
116;0;0;0;8448;338
372;0;0;0;8448;305
236;0;0;0;8448;326
374;0;0;0;8448;304
168;0;0;0;8448;333
376;0;0;0;8448;304
238;0;0;0;8448;326
378;0;0;0;8448;303
134;0;0;0;8448;336
380;0;0;0;8448;303
240;0;0;0;8448;325
382;0;0;0;8448;302
170;0;0;0;8448;333
384;0;0;0;8448;302
242;0;0;0;8448;325
386;0;0;0;8448;301
108;0;0;0;8448;338
388;0;0;0;8448;301
244;0;0;0;8448;325
390;0;0;0;8448;300
172;0;0;0;8448;333
392;0;0;0;8448;300
246;0;0;0;8448;325
394;0;0;0;8448;299
136;0;0;0;8448;336
396;0;0;0;8448;299
248;0;0;0;8448;324
398;0;0;0;8448;298
174;0;0;0;8448;332
400;0;0;0;8448;298
250;0;0;0;8448;324
402;0;0;0;8448;297
118;0;0;0;8448;338
404;0;0;0;8448;297
252;0;0;0;8448;324
406;0;0;0;8448;296
176;0;0;0;8448;332
408;0;0;0;8448;296
254;0;0;0;8448;324
410;0;0;0;8448;295
138;0;0;0;8448;336
412;0;0;0;8448;295
256;0;0;0;8448;323
414;0;0;0;8448;294
178;0;0;0;8448;332
416;0;0;0;8448;293
258;0;0;0;8448;323
418;0;0;0;8448;293
104;0;0;0;8448;339
420;0;0;0;8448;292
260;0;0;0;8448;323
422;0;0;0;8448;292
180;0;0;0;8448;332
424;0;0;0;8448;291
262;0;0;0;8448;323
426;0;0;0;8448;290
140;0;0;0;8448;336
428;0;0;0;8448;289
264;0;0;0;8448;322
430;0;0;0;8448;289
182;0;0;0;8448;332
432;0;0;0;8448;288
266;0;0;0;8448;322
434;0;0;0;8448;287
120;0;0;0;8448;337
436;0;0;0;8448;287
268;0;0;0;8448;322
438;0;0;0;8448;286
184;0;0;0;8448;331
440;0;0;0;8448;285
270;0;0;0;8448;322
442;0;0;0;8448;284
142;0;0;0;8448;335
444;0;0;0;8448;283
272;0;0;0;8448;321
446;0;0;0;8448;283
186;0;0;0;8448;331
448;0;0;0;8448;282
274;0;0;0;8448;321
450;0;0;0;8448;281
110;0;0;0;8448;338
452;0;0;0;8448;280
276;0;0;0;8448;321
454;0;0;0;8448;279
188;0;0;0;8448;331
456;0;0;0;8448;278
278;0;0;0;8448;321
458;0;0;0;8448;277
144;0;0;0;8448;335
460;0;0;0;8448;276
280;0;0;0;8448;320
462;0;0;0;8448;275
190;0;0;0;8448;331
464;0;0;0;8448;274
282;0;0;0;8448;320
466;0;0;0;8448;272
122;0;0;0;8448;337
468;0;0;0;8448;271
284;0;0;0;8448;320
470;0;0;0;8448;270
192;0;0;0;8448;331
472;0;0;0;8448;269
286;0;0;0;8448;319
474;0;0;0;8448;267
146;0;0;0;8448;335
476;0;0;0;8448;266
288;0;0;0;8448;319
478;0;0;0;8448;264
194;0;0;0;8448;330
480;0;0;0;8448;263
290;0;0;0;8448;319
482;0;0;0;8448;261
102;0;0;0;8448;339
484;0;0;0;8448;259
292;0;0;0;8448;319
486;0;0;0;8448;257
196;0;0;0;8448;330
488;0;0;0;8448;255
294;0;0;0;8448;318
490;0;0;0;8448;252
148;0;0;0;8448;335
492;0;0;0;8448;250
296;0;0;0;8448;318
494;0;0;0;8448;247
198;0;0;0;8448;330
496;0;0;0;8448;244
298;0;0;0;8448;318
498;0;0;0;8448;240
124;0;0;0;8448;337
500;0;0;0;8448;236
300;0;0;0;8448;317
502;0;0;0;8448;232
200;0;0;0;8448;330
504;0;0;0;8448;225
302;0;0;0;8448;317
506;0;0;0;8448;218
150;0;0;0;8448;335
508;0;0;0;8448;205
304;0;0;0;8448;317
202;0;0;0;8448;330
354;0;0;0;8448;308
103;0;0;0;8448;339
107;0;0;0;8448;338
115;0;0;0;8448;338
131;0;0;0;8448;336
163;0;0;0;8448;333
227;0;0;0;8448;327
355;0;0;0;8448;308
SUMMARY;1238088;174931;1465856
n_reads: 1
